cofids_food_code,name,description,protein,fat,carbohydrate,kcal
17-215,"Beer, mild, draught",Mixed sample from different brewers,0.002,0,0.016,0.24
50-1094,"Beer, bitter, canned",6 samples,0.003,0,0.023,0.32
17-506,"Beer, bitter, average","5 samples from different brewers; canned, draught and bottled",0.003,0,0.022,0.3
17-221,Strong ale/barley wine,Mixed sample from different brewers,0.007,0,0.061,0.66
17-220,"Stout, Mackeson",10 samples; canned and bottled,0.004,0,0.046,0.36
17-219,"Stout, Guinness","10 samples; canned, bottled and draught",0.004,0,0.015,0.3
17-218,"Shandy, homemade",Recipe. Calculated using equal volumes of lager and lemonade,0.002,0,0.029,0.26
17-216,"Pale ale, bottled",Mixed sample from different brewers,0.003,0,0.02,0.28
17-214,"Lager, premium",10 samples; Carlsberg Special Brew and Heldenbrau Extra Special,0.003,0,0.024,0.59
17-213,"Lager, low alcohol","10 samples; Carlton LA, Swan Light, Tennents LA",0.002,0,0.015,0.1
50-1102,"Stout, extra",6 samples of the same brand,0.003,0,0.021,0.39
50-1095,"Beer, bitter, draught",5 samples from different brewers,0.003,0,0.023,0.32
17-217,Shandy,"10 cans, 4 brands",0,0,0.05,0.24
50-1101,"Stout, bottled",4 samples from different brewers,0.003,0,0.042,0.37
17-212,"Lager, alcohol-free",10 samples; Kaliber and Barbican,0.004,0,0.015,0.07
17-208,"Bitter, best/premium",Mixed sample from different brewers,0.003,0,0.022,0.33
17-209,"Bitter, low alcohol",10 samples from different brewers,0.002,0,0.021,0.13
17-210,"Brown ale, bottled",Mixed sample from different brewers,0.003,0,0.03,0.3
17-211,Lager,"Mixed sample; Skol, Hofmeister, Tennents, Carling Black Label, Stella Artois and Fosters; canned and draught",0.003,0,0,0.29
50-1096,"Beer, bitter, keg",6 samples from different brewers,0.003,0,0.023,0.31
17-222,"Cider, dry",3 samples of different brands,0,0,0.026,0.36
17-223,"Cider, low alcohol","10 samples, 3 brands including Strongbow LA",0,0,0.036,0.17
17-224,"Cider, sweet",3 samples of different brands,0,0,0.043,0.42
17-225,"Cider, vintage",3 samples of the same brand,0,0,0.073,1.01
17-237,"Sherry, sweet",1 sample,0.003,0,0.069,1.36
17-236,"Sherry, medium","8 samples; including Spanish, British, Cyprus, own label",0.001,0,0.059,1.16
17-235,"Sherry, dry",1 sample,0.002,0,0.014,1.16
17-234,Port,2 samples,0.001,0,0.12,1.57
17-238,Tonic wine,10 samples; Sanatogen,0,0,0.124,1.27
17-245,"Liqueurs, low-medium strength","10 samples including Cherry brandy, Tia Maria and Creme de Menthe",0,0,0.328,2.62
17-578,Egg nog,Recipe,0.039,0.042,0.095,1.14
17-244,"Liqueurs, high strength","5 samples including Pernod, Drambuie, Cointreau, Grand Marnier, Southern Comfort",0,0,0.244,3.14
17-242,Cream liqueurs,2 samples of Baileys Original Irish Cream,0,0.161,0.228,3.25
17-241,Advocaat,4 samples of different brands,0.047,0.063,0.284,2.6
