ndb_id,name,kcal,protein,fat,carbohydrate
1,"butter,with salt",7.17,0.0085,0.8111,0.0006
2,"butter,whipped,with salt",7.17,0.0085,0.8111,0.0006
3,"butter oil,anhydrous",8.76,0.0028,0.9948,0
4,"cheese,blue",3.53,0.214,0.2874,0.0234
5,"cheese,brick",3.71,0.2324,0.2968,0.0279
6,"cheese,brie",3.34,0.2075,0.2768,0.0045
7,"cheese,camembert",3,0.198,0.2426,0.0046
8,"cheese,caraway",3.76,0.2518,0.292,0.0306
9,"cheese,cheddar",4.06,0.2404,0.3382,0.0133
10,"cheese,cheshire",3.87,0.2337,0.306,0.0478
11,"cheese,colby",3.94,0.2376,0.3211,0.0257
12,"cheese,cottage,crmd,lrg or sml curd",0.98,0.1112,0.043,0.0338
13,"cheese,cottage,crmd,w/fruit",0.97,0.1069,0.0385,0.0461
14,"cheese,cottage,nonfat,uncrmd,dry,lrg or sml curd",0.72,0.1034,0.0029,0.0666
15,"cheese,cottage,lowfat,2% milkfat",0.81,0.1045,0.0227,0.0476
16,"cheese,cottage,lowfat,1% milkfat",0.72,0.1239,0.0102,0.0272
17,"cheese,cream",3.42,0.0593,0.3424,0.0407
18,"cheese,edam",3.57,0.2499,0.278,0.0143
19,"cheese,feta",2.64,0.1421,0.2128,0.0409
20,"cheese,fontina",3.89,0.256,0.3114,0.0155
21,"cheese,gjetost",4.66,0.0965,0.2951,0.4265
22,"cheese,gouda",3.56,0.2494,0.2744,0.0222
23,"cheese,gruyere",4.13,0.2981,0.3234,0.0036
24,"cheese,limburger",3.27,0.2005,0.2725,0.0049
25,"cheese,monterey",3.73,0.2448,0.3028,0.0068
26,"cheese,mozzarella,whl milk",3,0.2217,0.2235,0.0219
27,"cheese,mozzarella,whl milk,lo moist",3.18,0.216,0.2464,0.0247
28,"cheese,mozzarella,part skim milk",2.54,0.2426,0.1592,0.0277
29,"cheese,mozzarella,lo moist,part-skim",3.01,0.2458,0.1972,0.0636
30,"cheese,muenster",3.68,0.2341,0.3004,0.0112
31,"cheese,neufchatel",2.53,0.0915,0.2278,0.0359
32,"cheese,parmesan,grated",4.2,0.2842,0.2784,0.1391
33,"cheese,parmesan,hard",3.92,0.3575,0.2583,0.0322
34,"cheese,port de salut",3.52,0.2378,0.282,0.0057
35,"cheese,provolone",3.51,0.2558,0.2662,0.0214
36,"cheese,ricotta,whole milk",1.74,0.1126,0.1298,0.0304
37,"cheese,ricotta,part skim milk",1.38,0.1139,0.0791,0.0514
38,"cheese,romano",3.87,0.318,0.2694,0.0363
39,"cheese,roquefort",3.69,0.2154,0.3064,0.02
40,"cheese,swiss",3.8,0.2693,0.278,0.0538
41,"cheese,tilsit",3.4,0.2441,0.2598,0.0188
42,"cheese,past process,american,fort w/ vitamin d",3.66,0.1813,0.3071,0.0478
43,"cheese,past process,pimento",3.75,0.2213,0.312,0.0173
44,"cheese,past process,swiss",3.34,0.2473,0.2501,0.021
45,"cheese fd,cold pk,american",3.31,0.1966,0.2446,0.0832
46,"cheese fd,past process,american,vitamin d fort",3.3,0.1686,0.2563,0.0856
47,"cheese fd,past process,swiss",3.23,0.2192,0.2414,0.045
48,"cheese sprd,past process,american",2.9,0.1641,0.2123,0.0873
49,"cream,fluid,half and half",1.3,0.0296,0.115,0.043
50,"cream,fluid,lt (coffee crm or table crm)",1.95,0.027,0.1931,0.0366
51,"cream,fluid,lt whipping",2.92,0.0217,0.3091,0.0296
52,"cream,fluid,hvy whipping",3.45,0.0205,0.37,0.0279
53,"cream,whipped,crm topping,pressurized",2.57,0.032,0.2222,0.1249
54,"cream,sour,red fat,cultured",1.35,0.0294,0.12,0.0426
55,"cream,sour,cultured",1.93,0.0207,0.1973,0.0288
56,eggnog,0.88,0.0455,0.0419,0.0805
57,"sour drsng,non-butterfat,cultured,filled cream-type",1.78,0.0325,0.1657,0.0468
58,"milk,filled,fluid,w/blend of hydr veg oils",0.63,0.0333,0.0346,0.0474
59,"milk,filled,fluid,w/lauric acid oil",0.63,0.0333,0.034,0.0474
60,"cheese,american,nonfat or fat free",1.26,0.2105,0,0.1053
61,"cream sub,liq,w/hydr veg oil&soy prot",1.36,0.01,0.0997,0.1138
62,"cream sub,liq,w/lauric acid oil&na caseinate",1.36,0.01,0.0997,0.1138
63,"cream substitute,powdered",5.45,0.0479,0.3548,0.5488
64,"dessert topping,powdered",5.77,0.049,0.3992,0.5254
65,"dessert topping,pdr,1.5 oz prep w/1/2 cup milk",1.94,0.0361,0.1272,0.1713
66,"dessert topping,pressurized",2.64,0.0098,0.223,0.1607
67,"dessert topping,semi solid,frz",3.18,0.0125,0.2531,0.2305
68,"sour crm,imitn,cultured",2.08,0.024,0.1952,0.0663
69,"milk substitutes,fluid,w/lauric acid oil",0.61,0.0175,0.0341,0.0616
70,"milk,whl,3.25% milkfat,w/ added vitamin d",0.61,0.0315,0.0325,0.048
71,"milk,producer,fluid,3.7% milkfat",0.64,0.0328,0.0366,0.0465
72,"milk,red fat,fluid,2% milkfat,w/ added vit a & vitamin d",0.5,0.033,0.0198,0.048
73,"milk,red fat,fluid,2% milkfat,w/ added nfms, vit a & vit d",0.51,0.0348,0.0192,0.0497
74,"milk,red fat,fluid,2% milkfat,prot fort,w/ added vit a & d",0.56,0.0395,0.0198,0.0549
75,"milk,lowfat,fluid,1% milkfat,w/ added vit a & vitamin d",0.42,0.0337,0.0097,0.0499
76,"milk,lowfat,fluid,1% milkfat,w/ add nonfat milk sol,vit a/ d",0.43,0.0348,0.0097,0.0497
77,"milk,lowfat,fluid,1% milkfat,prot fort,w/ added vit a & d",0.48,0.0393,0.0117,0.0552
78,"milk,nonfat,fluid,w/ added vit a & vit d (fat free or skim)",0.34,0.0337,0.0008,0.0496
79,"milk,nonfat,fluid,w/ added nonfat milk sol,vit a & vit d",0.37,0.0357,0.0025,0.0502
80,"milk,nonfat,fluid,prot fort,w/ add vit a & d (fat free/skim)",0.41,0.0396,0.0025,0.0556
81,"milk,bttrmlk,fluid,cultured,lowfat",0.4,0.0331,0.0088,0.0479
82,"milk,lo na,fluid",0.61,0.031,0.0346,0.0446
83,"milk,dry,whl,w/ added vitamin d",4.96,0.2632,0.2671,0.3842
84,"milk,dry,nonfat,reg,wo/ added vit a & vitamin d",3.62,0.3616,0.0077,0.5198
85,"milk,dry,nonfat,inst,w/ added vit a & vitamin d",3.58,0.351,0.0072,0.5219
86,"milk,dry,nonfat,ca red",3.54,0.355,0.002,0.518
87,"milk,buttermilk,dried",3.87,0.343,0.0578,0.49
88,"milk,cnd,cond,swtnd",3.21,0.0791,0.087,0.544
89,"milk,cnd,evap,w/ added vitamin d & wo/ added vit a",1.34,0.0681,0.0756,0.1004
90,"milk,cnd,evap,nonfat,w/ added vit a & vitamin d",0.78,0.0755,0.002,0.1135
91,"milk,choc,fluid,comm,whl,w/ added vit a & vitamin d",0.83,0.0317,0.0339,0.1034
92,"milk,choc,fluid,comm,red fat",0.76,0.0299,0.019,0.1213
93,"milk,choc,fluid,comm,lowfat,w/ added vit a & vitamin d",0.71,0.0324,0.01,0.126
94,"milk,choc bev,hot cocoa,homemade",0.77,0.0352,0.0234,0.1074
95,"milk,goat,fluid,w/ added vitamin d",0.69,0.0356,0.0414,0.0445
96,"milk,human,mature,fluid",0.7,0.0103,0.0438,0.0689
97,"milk,indian buffalo,fluid",0.97,0.0375,0.0689,0.0518
98,"milk,sheep,fluid",1.08,0.0598,0.07,0.0536
99,"milk shakes,thick choc",1.19,0.0305,0.027,0.2115
100,"milk shakes,thick vanilla",1.12,0.0386,0.0303,0.1775
101,"whey,acid,fluid",0.24,0.0076,0.0009,0.0512
102,"whey,acid,dried",3.39,0.1173,0.0054,0.7345
103,"whey,sweet,fluid",0.27,0.0085,0.0036,0.0514
104,"whey,sweet,dried",3.53,0.1293,0.0107,0.7446
105,"yogurt,pln,whl milk,8 grams prot per 8 oz",0.61,0.0347,0.0325,0.0466
106,"yogurt,pln,lofat,12 grams prot per 8 oz",0.63,0.0525,0.0155,0.0704
107,"yogurt,pln,skim milk,13 grams prot per 8 oz",0.56,0.0573,0.0018,0.0768
108,"yogurt,vanilla,lofat,11 grams prot per 8 oz",0.85,0.0493,0.0125,0.138
109,"yogurt,fruit,lofat,9 grams prot per 8 oz",0.99,0.0398,0.0115,0.1864
110,"yogurt,fruit,lofat,10 grams prot per 8 oz",1.02,0.0437,0.0108,0.1905
111,"yogurt,fruit,lofat,11 grams prot per 8 oz",1.05,0.0486,0.0141,0.186
112,"egg,whl,raw,frsh",1.43,0.1256,0.0951,0.0072
113,"egg,white,raw,fresh",0.52,0.109,0.0017,0.0073
114,"egg,yolk,raw,frsh",3.22,0.1586,0.2654,0.0359
115,"egg,yolk,raw,frz,past",2.99,0.1533,0.2524,0.013
116,"egg,yolk,raw,frz,sugared,past",3.07,0.1387,0.2282,0.1095
117,"egg,whl,ckd,fried",1.96,0.1361,0.1484,0.0083
118,"egg,whl,ckd,hard-boiled",1.55,0.1258,0.1061,0.0112
119,"egg,whole,cooked,omelet",1.54,0.1057,0.1166,0.0064
120,"egg,whl,ckd,poached",1.43,0.1251,0.0947,0.0071
121,"egg,whl,ckd,scrmbld",1.49,0.0999,0.1098,0.0161
